STT,Block Type,Block,Type,Layer Name,In Channels,Out Channels,Resolution (HxW),OFM,OFM_SIZE (byte),OFM_TYPE,IFM,IFM_SIZE (byte),IFM_TYPE,Weight Shape,Weight Params,Weight Size (Byte),kernel,padding,stride,Weight Storage DType,Weight Notes
312,,,ConstantOfShape,/Generator/resblock_7/pad_1/ConstantOfShape,N/A,N/A,N/A,[4],32,int64,[1],8,int64,N/A,0,0,,,,N/A,
313,,,Concat,/Generator/resblock_7/pad_1/Concat,N/A,N/A,N/A,[8],64,int64,[4],32,int64,N/A,0,0,,,,N/A,
314,,,Constant,/Generator/resblock_7/pad_1/Constant_2,N/A,N/A,N/A,[2],16,int64,N/A,0,N/A,N/A,0,0,,,,N/A,
315,,,Reshape,/Generator/resblock_7/pad_1/Reshape,N/A,N/A,N/A,"[4, 2]",64,int64,[8],64,int64,N/A,0,0,,,,N/A,
316,,,Constant,/Generator/resblock_7/pad_1/Constant_3,N/A,N/A,N/A,[1],8,int64,N/A,0,N/A,N/A,0,0,,,,N/A,
317,,,Constant,/Generator/resblock_7/pad_1/Constant_4,N/A,N/A,N/A,[1],8,int64,N/A,0,N/A,N/A,0,0,,,,N/A,
318,,,Constant,/Generator/resblock_7/pad_1/Constant_5,N/A,N/A,N/A,[1],8,int64,N/A,0,N/A,N/A,0,0,,,,N/A,
319,,,Constant,/Generator/resblock_7/pad_1/Constant_6,N/A,N/A,N/A,[1],8,int64,N/A,0,N/A,N/A,0,0,,,,N/A,
320,,,Slice,/Generator/resblock_7/pad_1/Slice,N/A,N/A,N/A,"[4, 2]",64,int64,"[4, 2]",64,int64,N/A,0,0,,,,N/A,
321,,,Transpose,/Generator/resblock_7/pad_1/Transpose,N/A,N/A,N/A,"[2, 4]",64,int64,"[4, 2]",64,int64,N/A,0,0,,,,N/A,
322,,,Constant,/Generator/resblock_7/pad_1/Constant_7,N/A,N/A,N/A,[1],8,int64,N/A,0,N/A,N/A,0,0,,,,N/A,
323,,,Reshape,/Generator/resblock_7/pad_1/Reshape_1,N/A,N/A,N/A,[8],64,int64,"[2, 4]",64,int64,N/A,0,0,,,,N/A,
324,,,Cast,/Generator/resblock_7/pad_1/Cast,N/A,N/A,N/A,[8],64,int64,[8],64,int64,N/A,0,0,,,,N/A,
325,,,Constant,/Generator/resblock_7/norm2/Constant,N/A,N/A,N/A,[1],8,int64,N/A,0,N/A,N/A,0,0,,,,N/A,
326,,,Constant,/Generator/resblock_7/norm2/Constant_1,N/A,N/A,N/A,[],2,float16,N/A,0,N/A,N/A,0,0,,,,N/A,
327,,,Constant,/Generator/resblock_7/norm2/Constant_2,N/A,N/A,N/A,[],2,float16,N/A,0,N/A,N/A,0,0,,,,N/A,
328,,,Constant,/Generator/resblock_7/norm2/Constant_3,N/A,N/A,N/A,[],2,float16,N/A,0,N/A,N/A,0,0,,,,N/A,
329,,resblock_8,Constant,/Generator/resblock_8/pad/Constant,N/A,N/A,N/A,[1],8,int64,N/A,0,N/A,N/A,0,0,,,,N/A,
330,,,Constant,/Generator/resblock_8/pad/Constant_1,N/A,N/A,N/A,[4],32,int64,N/A,0,N/A,N/A,0,0,,,,N/A,
331,,,ConstantOfShape,/Generator/resblock_8/pad/ConstantOfShape,N/A,N/A,N/A,[4],32,int64,[1],8,int64,N/A,0,0,,,,N/A,
332,,,Concat,/Generator/resblock_8/pad/Concat,N/A,N/A,N/A,[8],64,int64,[4],32,int64,N/A,0,0,,,,N/A,
333,,,Constant,/Generator/resblock_8/pad/Constant_2,N/A,N/A,N/A,[2],16,int64,N/A,0,N/A,N/A,0,0,,,,N/A,
334,,,Reshape,/Generator/resblock_8/pad/Reshape,N/A,N/A,N/A,"[4, 2]",64,int64,[8],64,int64,N/A,0,0,,,,N/A,
335,,,Constant,/Generator/resblock_8/pad/Constant_3,N/A,N/A,N/A,[1],8,int64,N/A,0,N/A,N/A,0,0,,,,N/A,
336,,,Constant,/Generator/resblock_8/pad/Constant_4,N/A,N/A,N/A,[1],8,int64,N/A,0,N/A,N/A,0,0,,,,N/A,
337,,,Constant,/Generator/resblock_8/pad/Constant_5,N/A,N/A,N/A,[1],8,int64,N/A,0,N/A,N/A,0,0,,,,N/A,
338,,,Constant,/Generator/resblock_8/pad/Constant_6,N/A,N/A,N/A,[1],8,int64,N/A,0,N/A,N/A,0,0,,,,N/A,
339,,,Slice,/Generator/resblock_8/pad/Slice,N/A,N/A,N/A,"[4, 2]",64,int64,"[4, 2]",64,int64,N/A,0,0,,,,N/A,
340,,,Transpose,/Generator/resblock_8/pad/Transpose,N/A,N/A,N/A,"[2, 4]",64,int64,"[4, 2]",64,int64,N/A,0,0,,,,N/A,
341,,,Constant,/Generator/resblock_8/pad/Constant_7,N/A,N/A,N/A,[1],8,int64,N/A,0,N/A,N/A,0,0,,,,N/A,
342,,,Reshape,/Generator/resblock_8/pad/Reshape_1,N/A,N/A,N/A,[8],64,int64,"[2, 4]",64,int64,N/A,0,0,,,,N/A,
343,,,Cast,/Generator/resblock_8/pad/Cast,N/A,N/A,N/A,[8],64,int64,[8],64,int64,N/A,0,0,,,,N/A,
344,,,Constant,/Generator/resblock_8/norm1/Constant,N/A,N/A,N/A,[1],8,int64,N/A,0,N/A,N/A,0,0,,,,N/A,
