STT,Block Type,Block,Type,Layer Name,In Channels,Out Channels,Resolution (HxW),OFM,OFM_SIZE (byte),OFM_TYPE,IFM,IFM_SIZE (byte),IFM_TYPE,Weight Shape,Weight Params,Weight Size (Byte),kernel,padding,stride,Weight Storage DType,Weight Notes
431,,,Sub,/Generator/conv_block_init/conv_block_init.3/Sub,960,960,16x16,"[1, 960, 16, 16]",491520,float16,"[1, 960, 16, 16]",491520,float16,N/A,0,0,,,,N/A,
432,,,Mul,/Generator/conv_block_init/conv_block_init.3/Mul,960,960,16x16,"[1, 960, 16, 16]",491520,float16,"[1, 960, 16, 16]",491520,float16,N/A,0,0,,,,N/A,
433,,,ReduceMean,/Generator/conv_block_init/conv_block_init.3/ReduceMean_2,960,1,16x16,"[1, 1, 16, 16]",512,float16,"[1, 960, 16, 16]",491520,float16,N/A,0,0,,,,N/A,
434,,,Cast,/Generator/conv_block_init/conv_block_init.3/Cast,N/A,N/A,N/A,[],2,float16,[],8,int64,N/A,0,0,,,,N/A,
435,,,Mul,/Generator/conv_block_init/conv_block_init.3/Mul_1,1,1,16x16,"[1, 1, 16, 16]",512,float16,"[1, 1, 16, 16]",512,float16,N/A,0,0,,,,N/A,
436,,,Sub,/Generator/conv_block_init/conv_block_init.3/Sub_1,N/A,N/A,N/A,[],2,float16,[],2,float16,N/A,0,0,,,,N/A,
437,,,Div,/Generator/conv_block_init/conv_block_init.3/Div,1,1,16x16,"[1, 1, 16, 16]",512,float16,"[1, 1, 16, 16]",512,float16,N/A,0,0,,,,N/A,
438,,,Sub,/Generator/conv_block_init/conv_block_init.3/Sub_2,960,960,16x16,"[1, 960, 16, 16]",491520,float16,"[1, 960, 16, 16]",491520,float16,N/A,0,0,,,,N/A,
439,,,Add,/Generator/conv_block_init/conv_block_init.3/Add,1,1,16x16,"[1, 1, 16, 16]",512,float16,"[1, 1, 16, 16]",512,float16,N/A,0,0,,,,N/A,
440,,,Sqrt,/Generator/conv_block_init/conv_block_init.3/Sqrt,1,1,16x16,"[1, 1, 16, 16]",512,float16,"[1, 1, 16, 16]",512,float16,N/A,0,0,,,,N/A,
441,,,Div,/Generator/conv_block_init/conv_block_init.3/Div_1,N/A,1,N/A,"[1, 1, 16, 16]",512,float16,[],2,float16,N/A,0,0,,,,N/A,
442,,,Mul,/Generator/conv_block_init/conv_block_init.3/Mul_2,960,960,16x16,"[1, 960, 16, 16]",491520,float16,"[1, 960, 16, 16]",491520,float16,N/A,0,0,,,,N/A,
443,,,Mul,/Generator/conv_block_init/conv_block_init.3/Mul_3,N/A,960,N/A,"[1, 960, 16, 16]",491520,float16,N/A,0,N/A,N/A,0,0,,,,N/A,
444,,,Add,/Generator/conv_block_init/conv_block_init.3/Add_1,960,960,16x16,"[1, 960, 16, 16]",491520,float16,"[1, 960, 16, 16]",491520,float16,"[1, 960, 1, 1]",960,1920,,,,float16,
445,,resblock_0,Pad,/Generator/resblock_0/pad/Pad,960,960,16x16,"[1, 960, 18, 18]",622080,float16,"[1, 960, 16, 16]",491520,float16,N/A,0,0,,,,N/A,
446,,,Conv3x3,/Generator/resblock_0/conv1/Conv,960,960,18x18,"[1, 960, 16, 16]",491520,float16,"[1, 960, 18, 18]",622080,float16,"[960, 960, 3, 3]",8294400,16588800,"[3, 3]","[0, 0, 0, 0]","[1, 1]",float16,weight=initializer
447,,,ReduceMean,/Generator/resblock_0/norm1/ReduceMean,960,1,16x16,"[1, 1, 16, 16]",512,float16,"[1, 960, 16, 16]",491520,float16,N/A,0,0,,,,N/A,
448,,,ReduceMean,/Generator/resblock_0/norm1/ReduceMean_1,960,1,16x16,"[1, 1, 16, 16]",512,float16,"[1, 960, 16, 16]",491520,float16,N/A,0,0,,,,N/A,
449,,,Shape,/Generator/resblock_0/norm1/Shape,960,N/A,16x16,[4],32,int64,"[1, 960, 16, 16]",491520,float16,N/A,0,0,,,,N/A,
450,,,Gather,/Generator/resblock_0/norm1/Gather,N/A,N/A,N/A,[1],8,int64,[4],32,int64,N/A,0,0,,,,N/A,
451,,,ReduceProd,/Generator/resblock_0/norm1/ReduceProd,N/A,N/A,N/A,[],8,int64,[1],8,int64,N/A,0,0,,,,N/A,
452,,,Sub,/Generator/resblock_0/norm1/Sub,960,960,16x16,"[1, 960, 16, 16]",491520,float16,"[1, 960, 16, 16]",491520,float16,N/A,0,0,,,,N/A,
453,,,Mul,/Generator/resblock_0/norm1/Mul,960,960,16x16,"[1, 960, 16, 16]",491520,float16,"[1, 960, 16, 16]",491520,float16,N/A,0,0,,,,N/A,
454,,,ReduceMean,/Generator/resblock_0/norm1/ReduceMean_2,960,1,16x16,"[1, 1, 16, 16]",512,float16,"[1, 960, 16, 16]",491520,float16,N/A,0,0,,,,N/A,
455,,,Cast,/Generator/resblock_0/norm1/Cast,N/A,N/A,N/A,[],2,float16,[],8,int64,N/A,0,0,,,,N/A,
456,,,Mul,/Generator/resblock_0/norm1/Mul_1,1,1,16x16,"[1, 1, 16, 16]",512,float16,"[1, 1, 16, 16]",512,float16,N/A,0,0,,,,N/A,
457,,,Sub,/Generator/resblock_0/norm1/Sub_1,N/A,N/A,N/A,[],2,float16,[],2,float16,N/A,0,0,,,,N/A,
458,,,Div,/Generator/resblock_0/norm1/Div,1,1,16x16,"[1, 1, 16, 16]",512,float16,"[1, 1, 16, 16]",512,float16,N/A,0,0,,,,N/A,
459,,,Sub,/Generator/resblock_0/norm1/Sub_2,960,960,16x16,"[1, 960, 16, 16]",491520,float16,"[1, 960, 16, 16]",491520,float16,N/A,0,0,,,,N/A,
460,,,Add,/Generator/resblock_0/norm1/Add,1,1,16x16,"[1, 1, 16, 16]",512,float16,"[1, 1, 16, 16]",512,float16,N/A,0,0,,,,N/A,
461,,,Sqrt,/Generator/resblock_0/norm1/Sqrt,1,1,16x16,"[1, 1, 16, 16]",512,float16,"[1, 1, 16, 16]",512,float16,N/A,0,0,,,,N/A,
462,,,Div,/Generator/resblock_0/norm1/Div_1,N/A,1,N/A,"[1, 1, 16, 16]",512,float16,[],2,float16,N/A,0,0,,,,N/A,
463,,,Mul,/Generator/resblock_0/norm1/Mul_2,960,960,16x16,"[1, 960, 16, 16]",491520,float16,"[1, 960, 16, 16]",491520,float16,N/A,0,0,,,,N/A,
464,,,Mul,/Generator/resblock_0/norm1/Mul_3,N/A,960,N/A,"[1, 960, 16, 16]",491520,float16,N/A,0,N/A,N/A,0,0,,,,N/A,
465,,,Add,/Generator/resblock_0/norm1/Add_1,960,960,16x16,"[1, 960, 16, 16]",491520,float16,"[1, 960, 16, 16]",491520,float16,"[1, 960, 1, 1]",960,1920,,,,float16,
466,,,Relu,/Generator/resblock_0/Relu,960,960,16x16,"[1, 960, 16, 16]",491520,float16,"[1, 960, 16, 16]",491520,float16,N/A,0,0,,,,N/A,
467,,,Pad,/Generator/resblock_0/pad_1/Pad,960,960,16x16,"[1, 960, 18, 18]",622080,float16,"[1, 960, 16, 16]",491520,float16,N/A,0,0,,,,N/A,
468,,,Conv3x3,/Generator/resblock_0/conv2/Conv,960,960,18x18,"[1, 960, 16, 16]",491520,float16,"[1, 960, 18, 18]",622080,float16,"[960, 960, 3, 3]",8294400,16588800,"[3, 3]","[0, 0, 0, 0]","[1, 1]",float16,weight=initializer
469,,,ReduceMean,/Generator/resblock_0/norm2/ReduceMean,960,1,16x16,"[1, 1, 16, 16]",512,float16,"[1, 960, 16, 16]",491520,float16,N/A,0,0,,,,N/A,
470,,,ReduceMean,/Generator/resblock_0/norm2/ReduceMean_1,960,1,16x16,"[1, 1, 16, 16]",512,float16,"[1, 960, 16, 16]",491520,float16,N/A,0,0,,,,N/A,
471,,,Shape,/Generator/resblock_0/norm2/Shape,960,N/A,16x16,[4],32,int64,"[1, 960, 16, 16]",491520,float16,N/A,0,0,,,,N/A,
472,,,Gather,/Generator/resblock_0/norm2/Gather,N/A,N/A,N/A,[1],8,int64,[4],32,int64,N/A,0,0,,,,N/A,
473,,,ReduceProd,/Generator/resblock_0/norm2/ReduceProd,N/A,N/A,N/A,[],8,int64,[1],8,int64,N/A,0,0,,,,N/A,
474,,,Sub,/Generator/resblock_0/norm2/Sub,960,960,16x16,"[1, 960, 16, 16]",491520,float16,"[1, 960, 16, 16]",491520,float16,N/A,0,0,,,,N/A,
475,,,Mul,/Generator/resblock_0/norm2/Mul,960,960,16x16,"[1, 960, 16, 16]",491520,float16,"[1, 960, 16, 16]",491520,float16,N/A,0,0,,,,N/A,
476,,,ReduceMean,/Generator/resblock_0/norm2/ReduceMean_2,960,1,16x16,"[1, 1, 16, 16]",512,float16,"[1, 960, 16, 16]",491520,float16,N/A,0,0,,,,N/A,
477,,,Cast,/Generator/resblock_0/norm2/Cast,N/A,N/A,N/A,[],2,float16,[],8,int64,N/A,0,0,,,,N/A,
478,,,Mul,/Generator/resblock_0/norm2/Mul_1,1,1,16x16,"[1, 1, 16, 16]",512,float16,"[1, 1, 16, 16]",512,float16,N/A,0,0,,,,N/A,
479,,,Sub,/Generator/resblock_0/norm2/Sub_1,N/A,N/A,N/A,[],2,float16,[],2,float16,N/A,0,0,,,,N/A,
480,,,Div,/Generator/resblock_0/norm2/Div,1,1,16x16,"[1, 1, 16, 16]",512,float16,"[1, 1, 16, 16]",512,float16,N/A,0,0,,,,N/A,
481,,,Sub,/Generator/resblock_0/norm2/Sub_2,960,960,16x16,"[1, 960, 16, 16]",491520,float16,"[1, 960, 16, 16]",491520,float16,N/A,0,0,,,,N/A,
482,,,Add,/Generator/resblock_0/norm2/Add,1,1,16x16,"[1, 1, 16, 16]",512,float16,"[1, 1, 16, 16]",512,float16,N/A,0,0,,,,N/A,
483,,,Sqrt,/Generator/resblock_0/norm2/Sqrt,1,1,16x16,"[1, 1, 16, 16]",512,float16,"[1, 1, 16, 16]",512,float16,N/A,0,0,,,,N/A,
484,,,Div,/Generator/resblock_0/norm2/Div_1,N/A,1,N/A,"[1, 1, 16, 16]",512,float16,[],2,float16,N/A,0,0,,,,N/A,
485,,,Mul,/Generator/resblock_0/norm2/Mul_2,960,960,16x16,"[1, 960, 16, 16]",491520,float16,"[1, 960, 16, 16]",491520,float16,N/A,0,0,,,,N/A,
486,,,Mul,/Generator/resblock_0/norm2/Mul_3,N/A,960,N/A,"[1, 960, 16, 16]",491520,float16,N/A,0,N/A,N/A,0,0,,,,N/A,
487,,,Add,/Generator/resblock_0/norm2/Add_1,960,960,16x16,"[1, 960, 16, 16]",491520,float16,"[1, 960, 16, 16]",491520,float16,"[1, 960, 1, 1]",960,1920,,,,float16,
488,,,Add,/Generator/resblock_0/Add,960,960,16x16,"[1, 960, 16, 16]",491520,float16,"[1, 960, 16, 16]",491520,float16,N/A,0,0,,,,N/A,
489,,resblock_1,Pad,/Generator/resblock_1/pad/Pad,960,960,16x16,"[1, 960, 18, 18]",622080,float16,"[1, 960, 16, 16]",491520,float16,N/A,0,0,,,,N/A,
490,,,Conv3x3,/Generator/resblock_1/conv1/Conv,960,960,18x18,"[1, 960, 16, 16]",491520,float16,"[1, 960, 18, 18]",622080,float16,"[960, 960, 3, 3]",8294400,16588800,"[3, 3]","[0, 0, 0, 0]","[1, 1]",float16,weight=initializer
491,,,ReduceMean,/Generator/resblock_1/norm1/ReduceMean,960,1,16x16,"[1, 1, 16, 16]",512,float16,"[1, 960, 16, 16]",491520,float16,N/A,0,0,,,,N/A,
492,,,ReduceMean,/Generator/resblock_1/norm1/ReduceMean_1,960,1,16x16,"[1, 1, 16, 16]",512,float16,"[1, 960, 16, 16]",491520,float16,N/A,0,0,,,,N/A,
493,,,Shape,/Generator/resblock_1/norm1/Shape,960,N/A,16x16,[4],32,int64,"[1, 960, 16, 16]",491520,float16,N/A,0,0,,,,N/A,
494,,,Gather,/Generator/resblock_1/norm1/Gather,N/A,N/A,N/A,[1],8,int64,[4],32,int64,N/A,0,0,,,,N/A,
495,,,ReduceProd,/Generator/resblock_1/norm1/ReduceProd,N/A,N/A,N/A,[],8,int64,[1],8,int64,N/A,0,0,,,,N/A,
496,,,Sub,/Generator/resblock_1/norm1/Sub,960,960,16x16,"[1, 960, 16, 16]",491520,float16,"[1, 960, 16, 16]",491520,float16,N/A,0,0,,,,N/A,
497,,,Mul,/Generator/resblock_1/norm1/Mul,960,960,16x16,"[1, 960, 16, 16]",491520,float16,"[1, 960, 16, 16]",491520,float16,N/A,0,0,,,,N/A,
498,,,ReduceMean,/Generator/resblock_1/norm1/ReduceMean_2,960,1,16x16,"[1, 1, 16, 16]",512,float16,"[1, 960, 16, 16]",491520,float16,N/A,0,0,,,,N/A,
499,,,Cast,/Generator/resblock_1/norm1/Cast,N/A,N/A,N/A,[],2,float16,[],8,int64,N/A,0,0,,,,N/A,
500,,,Mul,/Generator/resblock_1/norm1/Mul_1,1,1,16x16,"[1, 1, 16, 16]",512,float16,"[1, 1, 16, 16]",512,float16,N/A,0,0,,,,N/A,
501,,,Sub,/Generator/resblock_1/norm1/Sub_1,N/A,N/A,N/A,[],2,float16,[],2,float16,N/A,0,0,,,,N/A,
502,,,Div,/Generator/resblock_1/norm1/Div,1,1,16x16,"[1, 1, 16, 16]",512,float16,"[1, 1, 16, 16]",512,float16,N/A,0,0,,,,N/A,
503,,,Sub,/Generator/resblock_1/norm1/Sub_2,960,960,16x16,"[1, 960, 16, 16]",491520,float16,"[1, 960, 16, 16]",491520,float16,N/A,0,0,,,,N/A,
504,,,Add,/Generator/resblock_1/norm1/Add,1,1,16x16,"[1, 1, 16, 16]",512,float16,"[1, 1, 16, 16]",512,float16,N/A,0,0,,,,N/A,
505,,,Sqrt,/Generator/resblock_1/norm1/Sqrt,1,1,16x16,"[1, 1, 16, 16]",512,float16,"[1, 1, 16, 16]",512,float16,N/A,0,0,,,,N/A,
506,,,Div,/Generator/resblock_1/norm1/Div_1,N/A,1,N/A,"[1, 1, 16, 16]",512,float16,[],2,float16,N/A,0,0,,,,N/A,
507,,,Mul,/Generator/resblock_1/norm1/Mul_2,960,960,16x16,"[1, 960, 16, 16]",491520,float16,"[1, 960, 16, 16]",491520,float16,N/A,0,0,,,,N/A,
508,,,Mul,/Generator/resblock_1/norm1/Mul_3,N/A,960,N/A,"[1, 960, 16, 16]",491520,float16,N/A,0,N/A,N/A,0,0,,,,N/A,
509,,,Add,/Generator/resblock_1/norm1/Add_1,960,960,16x16,"[1, 960, 16, 16]",491520,float16,"[1, 960, 16, 16]",491520,float16,"[1, 960, 1, 1]",960,1920,,,,float16,
510,,,Relu,/Generator/resblock_1/Relu,960,960,16x16,"[1, 960, 16, 16]",491520,float16,"[1, 960, 16, 16]",491520,float16,N/A,0,0,,,,N/A,
511,,,Pad,/Generator/resblock_1/pad_1/Pad,960,960,16x16,"[1, 960, 18, 18]",622080,float16,"[1, 960, 16, 16]",491520,float16,N/A,0,0,,,,N/A,
512,,,Conv3x3,/Generator/resblock_1/conv2/Conv,960,960,18x18,"[1, 960, 16, 16]",491520,float16,"[1, 960, 18, 18]",622080,float16,"[960, 960, 3, 3]",8294400,16588800,"[3, 3]","[0, 0, 0, 0]","[1, 1]",float16,weight=initializer
513,,,ReduceMean,/Generator/resblock_1/norm2/ReduceMean,960,1,16x16,"[1, 1, 16, 16]",512,float16,"[1, 960, 16, 16]",491520,float16,N/A,0,0,,,,N/A,
514,,,ReduceMean,/Generator/resblock_1/norm2/ReduceMean_1,960,1,16x16,"[1, 1, 16, 16]",512,float16,"[1, 960, 16, 16]",491520,float16,N/A,0,0,,,,N/A,
515,,,Shape,/Generator/resblock_1/norm2/Shape,960,N/A,16x16,[4],32,int64,"[1, 960, 16, 16]",491520,float16,N/A,0,0,,,,N/A,
516,,,Gather,/Generator/resblock_1/norm2/Gather,N/A,N/A,N/A,[1],8,int64,[4],32,int64,N/A,0,0,,,,N/A,
517,,,ReduceProd,/Generator/resblock_1/norm2/ReduceProd,N/A,N/A,N/A,[],8,int64,[1],8,int64,N/A,0,0,,,,N/A,
518,,,Sub,/Generator/resblock_1/norm2/Sub,960,960,16x16,"[1, 960, 16, 16]",491520,float16,"[1, 960, 16, 16]",491520,float16,N/A,0,0,,,,N/A,
519,,,Mul,/Generator/resblock_1/norm2/Mul,960,960,16x16,"[1, 960, 16, 16]",491520,float16,"[1, 960, 16, 16]",491520,float16,N/A,0,0,,,,N/A,
520,,,ReduceMean,/Generator/resblock_1/norm2/ReduceMean_2,960,1,16x16,"[1, 1, 16, 16]",512,float16,"[1, 960, 16, 16]",491520,float16,N/A,0,0,,,,N/A,
521,,,Cast,/Generator/resblock_1/norm2/Cast,N/A,N/A,N/A,[],2,float16,[],8,int64,N/A,0,0,,,,N/A,
522,,,Mul,/Generator/resblock_1/norm2/Mul_1,1,1,16x16,"[1, 1, 16, 16]",512,float16,"[1, 1, 16, 16]",512,float16,N/A,0,0,,,,N/A,
523,,,Sub,/Generator/resblock_1/norm2/Sub_1,N/A,N/A,N/A,[],2,float16,[],2,float16,N/A,0,0,,,,N/A,
524,,,Div,/Generator/resblock_1/norm2/Div,1,1,16x16,"[1, 1, 16, 16]",512,float16,"[1, 1, 16, 16]",512,float16,N/A,0,0,,,,N/A,
525,,,Sub,/Generator/resblock_1/norm2/Sub_2,960,960,16x16,"[1, 960, 16, 16]",491520,float16,"[1, 960, 16, 16]",491520,float16,N/A,0,0,,,,N/A,
526,,,Add,/Generator/resblock_1/norm2/Add,1,1,16x16,"[1, 1, 16, 16]",512,float16,"[1, 1, 16, 16]",512,float16,N/A,0,0,,,,N/A,
527,,,Sqrt,/Generator/resblock_1/norm2/Sqrt,1,1,16x16,"[1, 1, 16, 16]",512,float16,"[1, 1, 16, 16]",512,float16,N/A,0,0,,,,N/A,
528,,,Div,/Generator/resblock_1/norm2/Div_1,N/A,1,N/A,"[1, 1, 16, 16]",512,float16,[],2,float16,N/A,0,0,,,,N/A,
529,,,Mul,/Generator/resblock_1/norm2/Mul_2,960,960,16x16,"[1, 960, 16, 16]",491520,float16,"[1, 960, 16, 16]",491520,float16,N/A,0,0,,,,N/A,
530,,,Mul,/Generator/resblock_1/norm2/Mul_3,N/A,960,N/A,"[1, 960, 16, 16]",491520,float16,N/A,0,N/A,N/A,0,0,,,,N/A,
531,,,Add,/Generator/resblock_1/norm2/Add_1,960,960,16x16,"[1, 960, 16, 16]",491520,float16,"[1, 960, 16, 16]",491520,float16,"[1, 960, 1, 1]",960,1920,,,,float16,
532,,,Add,/Generator/resblock_1/Add,960,960,16x16,"[1, 960, 16, 16]",491520,float16,"[1, 960, 16, 16]",491520,float16,N/A,0,0,,,,N/A,
533,,resblock_2,Pad,/Generator/resblock_2/pad/Pad,960,960,16x16,"[1, 960, 18, 18]",622080,float16,"[1, 960, 16, 16]",491520,float16,N/A,0,0,,,,N/A,
534,,,Conv3x3,/Generator/resblock_2/conv1/Conv,960,960,18x18,"[1, 960, 16, 16]",491520,float16,"[1, 960, 18, 18]",622080,float16,"[960, 960, 3, 3]",8294400,16588800,"[3, 3]","[0, 0, 0, 0]","[1, 1]",float16,weight=initializer
535,,,ReduceMean,/Generator/resblock_2/norm1/ReduceMean,960,1,16x16,"[1, 1, 16, 16]",512,float16,"[1, 960, 16, 16]",491520,float16,N/A,0,0,,,,N/A,
536,,,ReduceMean,/Generator/resblock_2/norm1/ReduceMean_1,960,1,16x16,"[1, 1, 16, 16]",512,float16,"[1, 960, 16, 16]",491520,float16,N/A,0,0,,,,N/A,
537,,,Shape,/Generator/resblock_2/norm1/Shape,960,N/A,16x16,[4],32,int64,"[1, 960, 16, 16]",491520,float16,N/A,0,0,,,,N/A,
538,,,Gather,/Generator/resblock_2/norm1/Gather,N/A,N/A,N/A,[1],8,int64,[4],32,int64,N/A,0,0,,,,N/A,
539,,,ReduceProd,/Generator/resblock_2/norm1/ReduceProd,N/A,N/A,N/A,[],8,int64,[1],8,int64,N/A,0,0,,,,N/A,
540,,,Sub,/Generator/resblock_2/norm1/Sub,960,960,16x16,"[1, 960, 16, 16]",491520,float16,"[1, 960, 16, 16]",491520,float16,N/A,0,0,,,,N/A,
541,,,Mul,/Generator/resblock_2/norm1/Mul,960,960,16x16,"[1, 960, 16, 16]",491520,float16,"[1, 960, 16, 16]",491520,float16,N/A,0,0,,,,N/A,
542,,,ReduceMean,/Generator/resblock_2/norm1/ReduceMean_2,960,1,16x16,"[1, 1, 16, 16]",512,float16,"[1, 960, 16, 16]",491520,float16,N/A,0,0,,,,N/A,
543,,,Cast,/Generator/resblock_2/norm1/Cast,N/A,N/A,N/A,[],2,float16,[],8,int64,N/A,0,0,,,,N/A,
544,,,Mul,/Generator/resblock_2/norm1/Mul_1,1,1,16x16,"[1, 1, 16, 16]",512,float16,"[1, 1, 16, 16]",512,float16,N/A,0,0,,,,N/A,
545,,,Sub,/Generator/resblock_2/norm1/Sub_1,N/A,N/A,N/A,[],2,float16,[],2,float16,N/A,0,0,,,,N/A,
546,,,Div,/Generator/resblock_2/norm1/Div,1,1,16x16,"[1, 1, 16, 16]",512,float16,"[1, 1, 16, 16]",512,float16,N/A,0,0,,,,N/A,
547,,,Sub,/Generator/resblock_2/norm1/Sub_2,960,960,16x16,"[1, 960, 16, 16]",491520,float16,"[1, 960, 16, 16]",491520,float16,N/A,0,0,,,,N/A,
548,,,Add,/Generator/resblock_2/norm1/Add,1,1,16x16,"[1, 1, 16, 16]",512,float16,"[1, 1, 16, 16]",512,float16,N/A,0,0,,,,N/A,
549,,,Sqrt,/Generator/resblock_2/norm1/Sqrt,1,1,16x16,"[1, 1, 16, 16]",512,float16,"[1, 1, 16, 16]",512,float16,N/A,0,0,,,,N/A,
550,,,Div,/Generator/resblock_2/norm1/Div_1,N/A,1,N/A,"[1, 1, 16, 16]",512,float16,[],2,float16,N/A,0,0,,,,N/A,
551,,,Mul,/Generator/resblock_2/norm1/Mul_2,960,960,16x16,"[1, 960, 16, 16]",491520,float16,"[1, 960, 16, 16]",491520,float16,N/A,0,0,,,,N/A,
552,,,Mul,/Generator/resblock_2/norm1/Mul_3,N/A,960,N/A,"[1, 960, 16, 16]",491520,float16,N/A,0,N/A,N/A,0,0,,,,N/A,
553,,,Add,/Generator/resblock_2/norm1/Add_1,960,960,16x16,"[1, 960, 16, 16]",491520,float16,"[1, 960, 16, 16]",491520,float16,"[1, 960, 1, 1]",960,1920,,,,float16,
554,,,Relu,/Generator/resblock_2/Relu,960,960,16x16,"[1, 960, 16, 16]",491520,float16,"[1, 960, 16, 16]",491520,float16,N/A,0,0,,,,N/A,
555,,,Pad,/Generator/resblock_2/pad_1/Pad,960,960,16x16,"[1, 960, 18, 18]",622080,float16,"[1, 960, 16, 16]",491520,float16,N/A,0,0,,,,N/A,
556,,,Conv3x3,/Generator/resblock_2/conv2/Conv,960,960,18x18,"[1, 960, 16, 16]",491520,float16,"[1, 960, 18, 18]",622080,float16,"[960, 960, 3, 3]",8294400,16588800,"[3, 3]","[0, 0, 0, 0]","[1, 1]",float16,weight=initializer
557,,,ReduceMean,/Generator/resblock_2/norm2/ReduceMean,960,1,16x16,"[1, 1, 16, 16]",512,float16,"[1, 960, 16, 16]",491520,float16,N/A,0,0,,,,N/A,
558,,,ReduceMean,/Generator/resblock_2/norm2/ReduceMean_1,960,1,16x16,"[1, 1, 16, 16]",512,float16,"[1, 960, 16, 16]",491520,float16,N/A,0,0,,,,N/A,
559,,,Shape,/Generator/resblock_2/norm2/Shape,960,N/A,16x16,[4],32,int64,"[1, 960, 16, 16]",491520,float16,N/A,0,0,,,,N/A,
560,,,Gather,/Generator/resblock_2/norm2/Gather,N/A,N/A,N/A,[1],8,int64,[4],32,int64,N/A,0,0,,,,N/A,
561,,,ReduceProd,/Generator/resblock_2/norm2/ReduceProd,N/A,N/A,N/A,[],8,int64,[1],8,int64,N/A,0,0,,,,N/A,
562,,,Sub,/Generator/resblock_2/norm2/Sub,960,960,16x16,"[1, 960, 16, 16]",491520,float16,"[1, 960, 16, 16]",491520,float16,N/A,0,0,,,,N/A,
563,,,Mul,/Generator/resblock_2/norm2/Mul,960,960,16x16,"[1, 960, 16, 16]",491520,float16,"[1, 960, 16, 16]",491520,float16,N/A,0,0,,,,N/A,
564,,,ReduceMean,/Generator/resblock_2/norm2/ReduceMean_2,960,1,16x16,"[1, 1, 16, 16]",512,float16,"[1, 960, 16, 16]",491520,float16,N/A,0,0,,,,N/A,
565,,,Cast,/Generator/resblock_2/norm2/Cast,N/A,N/A,N/A,[],2,float16,[],8,int64,N/A,0,0,,,,N/A,
566,,,Mul,/Generator/resblock_2/norm2/Mul_1,1,1,16x16,"[1, 1, 16, 16]",512,float16,"[1, 1, 16, 16]",512,float16,N/A,0,0,,,,N/A,
567,,,Sub,/Generator/resblock_2/norm2/Sub_1,N/A,N/A,N/A,[],2,float16,[],2,float16,N/A,0,0,,,,N/A,
568,,,Div,/Generator/resblock_2/norm2/Div,1,1,16x16,"[1, 1, 16, 16]",512,float16,"[1, 1, 16, 16]",512,float16,N/A,0,0,,,,N/A,
569,,,Sub,/Generator/resblock_2/norm2/Sub_2,960,960,16x16,"[1, 960, 16, 16]",491520,float16,"[1, 960, 16, 16]",491520,float16,N/A,0,0,,,,N/A,
570,,,Add,/Generator/resblock_2/norm2/Add,1,1,16x16,"[1, 1, 16, 16]",512,float16,"[1, 1, 16, 16]",512,float16,N/A,0,0,,,,N/A,
571,,,Sqrt,/Generator/resblock_2/norm2/Sqrt,1,1,16x16,"[1, 1, 16, 16]",512,float16,"[1, 1, 16, 16]",512,float16,N/A,0,0,,,,N/A,
572,,,Div,/Generator/resblock_2/norm2/Div_1,N/A,1,N/A,"[1, 1, 16, 16]",512,float16,[],2,float16,N/A,0,0,,,,N/A,
573,,,Mul,/Generator/resblock_2/norm2/Mul_2,960,960,16x16,"[1, 960, 16, 16]",491520,float16,"[1, 960, 16, 16]",491520,float16,N/A,0,0,,,,N/A,
574,,,Mul,/Generator/resblock_2/norm2/Mul_3,N/A,960,N/A,"[1, 960, 16, 16]",491520,float16,N/A,0,N/A,N/A,0,0,,,,N/A,
575,,,Add,/Generator/resblock_2/norm2/Add_1,960,960,16x16,"[1, 960, 16, 16]",491520,float16,"[1, 960, 16, 16]",491520,float16,"[1, 960, 1, 1]",960,1920,,,,float16,
576,,,Add,/Generator/resblock_2/Add,960,960,16x16,"[1, 960, 16, 16]",491520,float16,"[1, 960, 16, 16]",491520,float16,N/A,0,0,,,,N/A,
577,,resblock_3,Pad,/Generator/resblock_3/pad/Pad,960,960,16x16,"[1, 960, 18, 18]",622080,float16,"[1, 960, 16, 16]",491520,float16,N/A,0,0,,,,N/A,
578,,,Conv3x3,/Generator/resblock_3/conv1/Conv,960,960,18x18,"[1, 960, 16, 16]",491520,float16,"[1, 960, 18, 18]",622080,float16,"[960, 960, 3, 3]",8294400,16588800,"[3, 3]","[0, 0, 0, 0]","[1, 1]",float16,weight=initializer
579,,,ReduceMean,/Generator/resblock_3/norm1/ReduceMean,960,1,16x16,"[1, 1, 16, 16]",512,float16,"[1, 960, 16, 16]",491520,float16,N/A,0,0,,,,N/A,
580,,,ReduceMean,/Generator/resblock_3/norm1/ReduceMean_1,960,1,16x16,"[1, 1, 16, 16]",512,float16,"[1, 960, 16, 16]",491520,float16,N/A,0,0,,,,N/A,
581,,,Shape,/Generator/resblock_3/norm1/Shape,960,N/A,16x16,[4],32,int64,"[1, 960, 16, 16]",491520,float16,N/A,0,0,,,,N/A,
582,,,Gather,/Generator/resblock_3/norm1/Gather,N/A,N/A,N/A,[1],8,int64,[4],32,int64,N/A,0,0,,,,N/A,
583,,,ReduceProd,/Generator/resblock_3/norm1/ReduceProd,N/A,N/A,N/A,[],8,int64,[1],8,int64,N/A,0,0,,,,N/A,
