"Số PE
(window channels
xử lý song song)",UCB_0,,,,,,,,,,,,,,,,,,UCB_1,,,,,,,,,,,,,,,,,,UCB_2,,,,,,,,,,,,,,,,,,UCB_3,,,,,,,,,,,,,,,,,
,Bi,Hi,Wi,Ci,N_Tiles,Ko,IFM Buf (KB),W_local Buf (KB),row_acc Buf (KB),Tổng Buf (KB),Số DSP,Số lần load weight,Conv (K Cycle),IFM load (K Cycle),Tổng (K Cycle),Tổng (s),MACs,GOPS,Bi,Hi,Wi,Ci,N_Tiles,Ko,IFM Buf (KB),W_local Buf (KB),row_acc Buf (KB),Tổng Buf (KB),Số DSP,Số lần load weight,Conv (K Cycle),IFM load (K Cycle),Tổng (K Cycle),Tổng (s),MACs,GOPS,Bi,Hi,Wi,Ci,N_Tiles,Ko,IFM Buf (KB),W_local Buf (KB),row_acc Buf (KB),Tổng Buf (KB),Số DSP,Số lần load weight,Conv (K Cycle),IFM load (K Cycle),Tổng (K Cycle),Tổng (s),MACs,GOPS,Bi,Hi,Wi,Ci,N_Tiles,Ko,IFM Buf (KB),W_local Buf (KB),row_acc Buf (KB),Tổng Buf (KB),Số DSP,Số lần load weight,Conv (K Cycle),IFM load (K Cycle),Tổng (K Cycle),Tổng (s),MACs,GOPS
Max latency (s),0.2023,0.3088,0.5463,1.745,2.8023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOPS (min lat),53.14,53.69,33.58,16.03,30.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOPS (max lat),10.5,6.88,3.89,1.22,3.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peak GOPS (PEs=8),76.8,76.8,76.8,76.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIXEL_NORM / call (cy),113792,119104,129792,151040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIXEL_NORM % of min total,30.4,64.2,87.6,97.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
=== DERIVED CONSTANTS ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W_IN × CI_WORDS (≈ const across UCBs),960,960,960,1024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
avg compute/tile = 1.5×(3W-1)×CI_W,4230,4275,4298,4596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESET_ROW_ACC / call (cy),483,963,1923,3843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IFM load / input row (cy),964,964,963,1028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Byte transfer / cycle,32 (256-bit AXI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
